-1249852061	microsoft outlook	http://autodiscover.creditkarma.com:80/
-1279294674	zendesk-support	http://help.creditkarma.com:80/
-1279294674	zendesk-support	http://taxhelp.creditkarma.com:80/
-1279294674	zendesk-support	https://help.creditkarma.com:443/
-1279294674	zendesk-support	https://taxhelp.creditkarma.com:443/
1262005940	jamf pro login	https://jss.corp.creditkarma.com:443/
1274734426	blankwhite	http://blog.creditkarma.com/
1274734426	blankwhite	http://blog.creditkarma.com:80/
1274734426	blankwhite	http://cms.creditkarma.com/
1274734426	blankwhite	http://cms.creditkarma.com:80/
1274734426	blankwhite	http://engineering.creditkarma.com/
1274734426	blankwhite	http://engineering.creditkarma.com:80/
1274734426	blankwhite	https://blog.creditkarma.com/
1274734426	blankwhite	https://blog.creditkarma.com:443/
1274734426	blankwhite	https://cms.creditkarma.com/
1274734426	blankwhite	https://cms.creditkarma.com:443/
1274734426	blankwhite	https://engineering.creditkarma.com/
1274734426	blankwhite	https://engineering.creditkarma.com:443/
1433417005	salesforce	http://helpcenter.creditkarma.com:80/
1433417005	salesforce	http://support.creditkarma.com/
1433417005	salesforce	http://support.creditkarma.com:80/
1433417005	salesforce	http://taxsupport.creditkarma.com/
1433417005	salesforce	http://taxsupport.creditkarma.com:80/
1433417005	salesforce	https://helpcenter.creditkarma.com:443/
1433417005	salesforce	https://support.creditkarma.com/
1433417005	salesforce	https://support.creditkarma.com:443/
1433417005	salesforce	https://taxsupport.creditkarma.com/
1433417005	salesforce	https://taxsupport.creditkarma.com:443/
1f2804bd63515db219aeea50f61df277	zendesk-support	http://help.creditkarma.com:80/
1f2804bd63515db219aeea50f61df277	zendesk-support	http://taxhelp.creditkarma.com:80/
1f2804bd63515db219aeea50f61df277	zendesk-support	https://help.creditkarma.com:443/
1f2804bd63515db219aeea50f61df277	zendesk-support	https://taxhelp.creditkarma.com:443/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	http://blog.creditkarma.com/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	http://blog.creditkarma.com:80/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	http://cms.creditkarma.com/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	http://cms.creditkarma.com:80/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	http://engineering.creditkarma.com/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	http://engineering.creditkarma.com:80/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	https://blog.creditkarma.com/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	https://blog.creditkarma.com:443/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	https://cms.creditkarma.com/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	https://cms.creditkarma.com:443/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	https://engineering.creditkarma.com/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	https://engineering.creditkarma.com:443/
